iter	Passed	Remaining
0	1	169
1	3	237
2	4	203
3	5	185
4	6	176
5	7	168
6	7	163
7	8	157
8	9	154
9	10	150
10	11	147
11	12	146
12	13	144
13	14	142
14	15	142
15	16	141
16	18	141
17	18	138
18	19	136
19	20	135
20	21	134
21	22	132
22	23	131
23	24	130
24	25	128
25	26	127
26	27	125
27	28	123
28	29	123
29	31	127
30	33	128
31	34	127
32	35	126
33	37	126
34	38	125
35	39	123
36	39	122
37	40	120
38	41	118
39	42	117
40	43	116
41	44	114
42	45	113
43	46	111
44	47	110
45	48	109
46	49	107
47	50	106
48	51	105
49	52	104
50	53	102
51	53	101
52	54	100
53	55	98
54	56	97
55	57	96
56	58	94
57	59	93
58	59	92
59	60	91
60	61	90
61	62	89
62	63	88
63	64	87
64	65	85
65	66	84
66	67	83
67	68	82
68	69	81
69	70	80
70	71	79
71	72	78
72	73	77
73	74	76
74	75	75
75	75	73
76	76	72
77	77	71
78	78	70
79	79	69
80	80	68
81	81	67
82	82	66
83	83	65
84	84	64
85	84	63
86	85	62
87	86	61
88	87	60
89	88	59
90	89	58
91	90	57
92	91	56
93	92	55
94	93	53
95	94	52
96	95	51
97	96	51
98	97	50
99	98	49
100	98	47
101	99	47
102	100	45
103	101	44
104	102	43
105	103	42
106	104	41
107	105	40
108	106	39
109	106	38
110	107	37
111	108	36
112	109	35
113	110	34
114	111	33
115	112	32
116	112	31
117	113	30
118	114	29
119	115	28
120	116	27
121	117	26
122	118	26
123	119	25
124	120	24
125	121	23
126	121	22
127	122	21
128	123	20
129	124	19
130	125	18
131	126	17
132	127	16
133	128	15
134	128	14
135	129	13
136	130	12
137	131	11
138	132	10
139	133	9
140	134	8
141	135	7
142	136	6
143	137	5
144	138	4
145	139	3
146	139	2
147	140	1
148	141	0
149	142	0
