Total Nacional,Comunidades y Ciudades Autónomas,Periodo,Total
Total Nacional,,2023T4,139314
Total Nacional,,2023T3,155797
Total Nacional,,2023T2,148091
Total Nacional,,2023T1,149645
Total Nacional,,2022T4,140517
Total Nacional,,2022T3,143876
Total Nacional,,2022T2,145053
Total Nacional,,2022T1,133988
Total Nacional,,2021T4,109085
Total Nacional,,2021T3,118888
Total Nacional,,2021T2,119212
Total Nacional,,2021T1,100041
Total Nacional,,2020T4,76007
Total Nacional,,2020T3,86750
Total Nacional,,2020T2,74346
Total Nacional,,2020T1,103005
Total Nacional,,2019T4,101009
Total Nacional,,2019T3,104182
Total Nacional,,2019T2,107531
Total Nacional,,2019T1,98745
Total Nacional,,2018T4,91101
Total Nacional,,2018T3,96887
Total Nacional,,2018T2,98493
Total Nacional,,2018T1,101512
Total Nacional,,2017T4,74737
Total Nacional,,2017T3,82546
Total Nacional,,2017T2,82826
Total Nacional,,2017T1,78356
Total Nacional,,2016T4,67464
Total Nacional,,2016T3,68057
Total Nacional,,2016T2,75852
Total Nacional,,2016T1,69028
Total Nacional,,2015T4,58868
Total Nacional,,2015T3,62172
Total Nacional,,2015T2,60103
Total Nacional,,2015T1,58707
Total Nacional,,2014T4,56269
Total Nacional,,2014T3,57660
Total Nacional,,2014T2,55238
Total Nacional,,2014T1,54965
Total Nacional,,2013T4,53909
Total Nacional,,2013T3,72790
Total Nacional,01 Andalucía,2023T4,19212
Total Nacional,01 Andalucía,2023T3,22425
Total Nacional,01 Andalucía,2023T2,22402
Total Nacional,01 Andalucía,2023T1,17839
Total Nacional,01 Andalucía,2022T4,22184
Total Nacional,01 Andalucía,2022T3,18582
Total Nacional,01 Andalucía,2022T2,23231
Total Nacional,01 Andalucía,2022T1,16095
Total Nacional,01 Andalucía,2021T4,19007
Total Nacional,01 Andalucía,2021T3,17904
Total Nacional,01 Andalucía,2021T2,16561
Total Nacional,01 Andalucía,2021T1,16106
Total Nacional,01 Andalucía,2020T4,12471
Total Nacional,01 Andalucía,2020T3,15759
Total Nacional,01 Andalucía,2020T2,12010
Total Nacional,01 Andalucía,2020T1,11951
Total Nacional,01 Andalucía,2019T4,16114
Total Nacional,01 Andalucía,2019T3,13571
Total Nacional,01 Andalucía,2019T2,13377
Total Nacional,01 Andalucía,2019T1,10613
Total Nacional,01 Andalucía,2018T4,9878
Total Nacional,01 Andalucía,2018T3,11822
Total Nacional,01 Andalucía,2018T2,11657
Total Nacional,01 Andalucía,2018T1,13180
Total Nacional,01 Andalucía,2017T4,7547
Total Nacional,01 Andalucía,2017T3,10199
Total Nacional,01 Andalucía,2017T2,9648
Total Nacional,01 Andalucía,2017T1,8369
Total Nacional,01 Andalucía,2016T4,8131
Total Nacional,01 Andalucía,2016T3,8398
Total Nacional,01 Andalucía,2016T2,6613
Total Nacional,01 Andalucía,2016T1,8945
Total Nacional,01 Andalucía,2015T4,7303
Total Nacional,01 Andalucía,2015T3,8275
Total Nacional,01 Andalucía,2015T2,7040
Total Nacional,01 Andalucía,2015T1,6287
Total Nacional,01 Andalucía,2014T4,8599
Total Nacional,01 Andalucía,2014T3,10496
Total Nacional,01 Andalucía,2014T2,9060
Total Nacional,01 Andalucía,2014T1,7510
Total Nacional,01 Andalucía,2013T4,8920
Total Nacional,01 Andalucía,2013T3,10111
Total Nacional,02 Aragón,2023T4,4595
Total Nacional,02 Aragón,2023T3,3810
Total Nacional,02 Aragón,2023T2,4448
Total Nacional,02 Aragón,2023T1,3591
