,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total,Total2,Total3
0,Ambos sexos,Total Nacional,Total,2023T4,11,76,11.76
1,Ambos sexos,Total Nacional,Total,2023T3,11,84,11.84
2,Ambos sexos,Total Nacional,Total,2023T2,11,6,11.6
3,Ambos sexos,Total Nacional,Total,2023T1,13,26,13.26
4,Ambos sexos,Total Nacional,Total,2022T4,12,87,12.87
5,Ambos sexos,Total Nacional,Total,2022T3,12,67,12.67
6,Ambos sexos,Total Nacional,Total,2022T2,12,48,12.48
7,Ambos sexos,Total Nacional,Total,2022T1,13,65,13.65
8,Ambos sexos,Total Nacional,Total,2021T4,13,33,13.33
9,Ambos sexos,Total Nacional,Total,2021T3,14,57,14.57
10,Ambos sexos,Total Nacional,Total,2021T2,15,26,15.26
11,Ambos sexos,Total Nacional,Total,2021T1,15,98,15.98
12,Ambos sexos,Total Nacional,Total,2020T4,16,13,16.13
13,Ambos sexos,Total Nacional,Total,2020T3,16,26,16.26
14,Ambos sexos,Total Nacional,Total,2020T2,15,33,15.33
15,Ambos sexos,Total Nacional,Total,2020T1,14,41,14.41
16,Ambos sexos,Total Nacional,Total,2019T4,13,78,13.78
17,Ambos sexos,Total Nacional,Total,2019T3,13,92,13.92
18,Ambos sexos,Total Nacional,Total,2019T2,14,2,14.2
19,Ambos sexos,Total Nacional,Total,2019T1,14,7,14.7
20,Ambos sexos,Total Nacional,Total,2018T4,14,45,14.45
21,Ambos sexos,Total Nacional,Total,2018T3,14,55,14.55
22,Ambos sexos,Total Nacional,Total,2018T2,15,28,15.28
23,Ambos sexos,Total Nacional,Total,2018T1,16,74,16.74
24,Ambos sexos,Total Nacional,Total,2017T4,16,55,16.55
25,Ambos sexos,Total Nacional,Total,2017T3,16,38,16.38
26,Ambos sexos,Total Nacional,Total,2017T2,17,22,17.22
27,Ambos sexos,Total Nacional,Total,2017T1,18,75,18.75
28,Ambos sexos,Total Nacional,Total,2016T4,18,63,18.63
29,Ambos sexos,Total Nacional,Total,2016T3,18,91,18.91
30,Ambos sexos,Total Nacional,Total,2016T2,20,,20.
31,Ambos sexos,Total Nacional,Total,2016T1,21,,21.
32,Ambos sexos,Total Nacional,Total,2015T4,20,9,20.9
33,Ambos sexos,Total Nacional,Total,2015T3,21,18,21.18
34,Ambos sexos,Total Nacional,Total,2015T2,22,37,22.37
35,Ambos sexos,Total Nacional,Total,2015T1,23,78,23.78
36,Ambos sexos,Total Nacional,Total,2014T4,23,7,23.7
37,Ambos sexos,Total Nacional,Total,2014T3,23,67,23.67
38,Ambos sexos,Total Nacional,Total,2014T2,24,47,24.47
39,Ambos sexos,Total Nacional,Total,2014T1,25,93,25.93
40,Ambos sexos,Total Nacional,Total,2013T4,25,73,25.73
41,Ambos sexos,Total Nacional,Total,2013T3,25,65,25.65
42,Ambos sexos,Total Nacional,Total,2013T2,26,6,26.6
43,Ambos sexos,Total Nacional,Total,2013T1,26,94,26.94
44,Ambos sexos,Total Nacional,Total,2012T4,25,77,25.77
45,Ambos sexos,Total Nacional,Total,2012T3,24,79,24.79
46,Ambos sexos,Total Nacional,Total,2012T2,24,4,24.4
47,Ambos sexos,Total Nacional,Total,2012T1,24,19,24.19
48,Ambos sexos,Total Nacional,Total,2011T4,22,56,22.56
49,Ambos sexos,Total Nacional,Total,2011T3,21,28,21.28
50,Ambos sexos,Total Nacional,Total,2011T2,20,64,20.64
51,Ambos sexos,Total Nacional,Total,2011T1,21,8,21.8
52,Ambos sexos,Total Nacional,Total,2010T4,20,11,20.11
53,Ambos sexos,Total Nacional,Total,2010T3,19,59,19.59
54,Ambos sexos,Total Nacional,Total,2010T2,19,89,19.89
55,Ambos sexos,Total Nacional,Total,2010T1,19,84,19.84
56,Ambos sexos,Total Nacional,Total,2009T4,18,66,18.66
57,Ambos sexos,Total Nacional,Total,2009T3,17,75,17.75
