Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total,Total2
Ambos sexos,Total Nacional,Total,2023T4,11,76
Ambos sexos,Total Nacional,Total,2023T3,11,84
Ambos sexos,Total Nacional,Total,2023T2,11,60
Ambos sexos,Total Nacional,Total,2023T1,13,26
Ambos sexos,Total Nacional,Total,2022T4,12,87
Ambos sexos,Total Nacional,Total,2022T3,12,67
Ambos sexos,Total Nacional,Total,2022T2,12,48
Ambos sexos,Total Nacional,Total,2022T1,13,65
Ambos sexos,Total Nacional,Total,2021T4,13,33
Ambos sexos,Total Nacional,Total,2021T3,14,57
Ambos sexos,Total Nacional,Total,2021T2,15,26
Ambos sexos,Total Nacional,Total,2021T1,15,98
Ambos sexos,Total Nacional,Total,2020T4,16,13
Ambos sexos,Total Nacional,Total,2020T3,16,26
Ambos sexos,Total Nacional,Total,2020T2,15,33
Ambos sexos,Total Nacional,Total,2020T1,14,41
Ambos sexos,Total Nacional,Total,2019T4,13,78
Ambos sexos,Total Nacional,Total,2019T3,13,92
Ambos sexos,Total Nacional,Total,2019T2,14,2
Ambos sexos,Total Nacional,Total,2019T1,14,70
Ambos sexos,Total Nacional,Total,2018T4,14,45
Ambos sexos,Total Nacional,Total,2018T3,14,55
Ambos sexos,Total Nacional,Total,2018T2,15,28
Ambos sexos,Total Nacional,Total,2018T1,16,74
Ambos sexos,Total Nacional,Total,2017T4,16,55
Ambos sexos,Total Nacional,Total,2017T3,16,38
Ambos sexos,Total Nacional,Total,2017T2,17,22
Ambos sexos,Total Nacional,Total,2017T1,18,75
Ambos sexos,Total Nacional,Total,2016T4,18,63
Ambos sexos,Total Nacional,Total,2016T3,18,91
Ambos sexos,Total Nacional,Total,2016T2,20,0
Ambos sexos,Total Nacional,Total,2016T1,21,0
Ambos sexos,Total Nacional,Total,2015T4,20,90
Ambos sexos,Total Nacional,Total,2015T3,21,18
Ambos sexos,Total Nacional,Total,2015T2,22,37
Ambos sexos,Total Nacional,Total,2015T1,23,78
Ambos sexos,Total Nacional,Total,2014T4,23,70
Ambos sexos,Total Nacional,Total,2014T3,23,67
Ambos sexos,Total Nacional,Total,2014T2,24,47
Ambos sexos,Total Nacional,Total,2014T1,25,93
Ambos sexos,Total Nacional,Total,2013T4,25,73
Ambos sexos,Total Nacional,Total,2013T3,25,65
Ambos sexos,Total Nacional,Total,2013T2,26,6
Ambos sexos,Total Nacional,Total,2013T1,26,94
Ambos sexos,Total Nacional,Total,2012T4,25,77
Ambos sexos,Total Nacional,Total,2012T3,24,79
Ambos sexos,Total Nacional,Total,2012T2,24,40
Ambos sexos,Total Nacional,Total,2012T1,24,19
Ambos sexos,Total Nacional,Total,2011T4,22,56
Ambos sexos,Total Nacional,Total,2011T3,21,28
Ambos sexos,Total Nacional,Total,2011T2,20,64
Ambos sexos,Total Nacional,Total,2011T1,21,8
Ambos sexos,Total Nacional,Total,2010T4,20,11
Ambos sexos,Total Nacional,Total,2010T3,19,59
Ambos sexos,Total Nacional,Total,2010T2,19,89
Ambos sexos,Total Nacional,Total,2010T1,19,84
Ambos sexos,Total Nacional,Total,2009T4,18,66
Ambos sexos,Total Nacional,Total,2009T3,17,75
Ambos sexos,Total Nacional,Total,2009T2,17,77
Ambos sexos,Total Nacional,Total,2009T1,17,24
Ambos sexos,Total Nacional,Total,2008T4,13,79
Ambos sexos,Total Nacional,Total,2008T3,11,23
Ambos sexos,Total Nacional,Total,2008T2,10,36
Ambos sexos,Total Nacional,Total,2008T1,9,60
Ambos sexos,Total Nacional,Total,2007T4,8,57
Ambos sexos,Total Nacional,Total,2007T3,8,1
Ambos sexos,Total Nacional,Total,2007T2,7,93
Ambos sexos,Total Nacional,Total,2007T1,8,42
Ambos sexos,Total Nacional,Total,2006T4,8,26
Ambos sexos,Total Nacional,Total,2006T3,8,8
Ambos sexos,Total Nacional,Total,2006T2,8,44
Ambos sexos,Total Nacional,Total,2006T1,9,3
Ambos sexos,Total Nacional,Total,2005T4,8,71
Ambos sexos,Total Nacional,Total,2005T3,8,41
Ambos sexos,Total Nacional,Total,2005T2,9,32
Ambos sexos,Total Nacional,Total,2005T1,10,17
Ambos sexos,Total Nacional,Total,2004T4,10,53
Ambos sexos,Total Nacional,Total,2004T3,10,74
Ambos sexos,Total Nacional,Total,2004T2,11,9
Ambos sexos,Total Nacional,Total,2004T1,11,50
Ambos sexos,Total Nacional,Total,2003T4,11,37
Ambos sexos,Total Nacional,Total,2003T3,11,30
Ambos sexos,Total Nacional,Total,2003T2,11,28
Ambos sexos,Total Nacional,Total,2003T1,11,99
Ambos sexos,Total Nacional,Total,2002T4,11,61
Ambos sexos,Total Nacional,Total,2002T3,11,49
Ambos sexos,Total Nacional,Total,2002T2,11,15
Ambos sexos,Total Nacional,Total,2002T1,11,55
Ambos sexos,Total Nacional,Menores de 25 años,2023T4,28,36
Ambos sexos,Total Nacional,Menores de 25 años,2023T3,27,82
Ambos sexos,Total Nacional,Menores de 25 años,2023T2,27,94
Ambos sexos,Total Nacional,Menores de 25 años,2023T1,30,3
Ambos sexos,Total Nacional,Menores de 25 años,2022T4,29,26
Ambos sexos,Total Nacional,Menores de 25 años,2022T3,31,1
Ambos sexos,Total Nacional,Menores de 25 años,2022T2,28,52
Ambos sexos,Total Nacional,Menores de 25 años,2022T1,30,18
Ambos sexos,Total Nacional,Menores de 25 años,2021T4,30,70
Ambos sexos,Total Nacional,Menores de 25 años,2021T3,31,15
Ambos sexos,Total Nacional,Menores de 25 años,2021T2,38,38
Ambos sexos,Total Nacional,Menores de 25 años,2021T1,39,53
Ambos sexos,Total Nacional,Menores de 25 años,2020T4,40,13
Ambos sexos,Total Nacional,Menores de 25 años,2020T3,40,45
Ambos sexos,Total Nacional,Menores de 25 años,2020T2,39,61
Ambos sexos,Total Nacional,Menores de 25 años,2020T1,32,99
Ambos sexos,Total Nacional,Menores de 25 años,2019T4,30,51
Ambos sexos,Total Nacional,Menores de 25 años,2019T3,31,68
Ambos sexos,Total Nacional,Menores de 25 años,2019T2,33,14
Ambos sexos,Total Nacional,Menores de 25 años,2019T1,34,97
Ambos sexos,Total Nacional,Menores de 25 años,2018T4,33,54
Ambos sexos,Total Nacional,Menores de 25 años,2018T3,33,0
Ambos sexos,Total Nacional,Menores de 25 años,2018T2,34,68
Ambos sexos,Total Nacional,Menores de 25 años,2018T1,36,34
Ambos sexos,Total Nacional,Menores de 25 años,2017T4,37,46
Ambos sexos,Total Nacional,Menores de 25 años,2017T3,35,97
Ambos sexos,Total Nacional,Menores de 25 años,2017T2,39,53
Ambos sexos,Total Nacional,Menores de 25 años,2017T1,41,66
Ambos sexos,Total Nacional,Menores de 25 años,2016T4,42,92
Ambos sexos,Total Nacional,Menores de 25 años,2016T3,41,94
Ambos sexos,Total Nacional,Menores de 25 años,2016T2,46,48
Ambos sexos,Total Nacional,Menores de 25 años,2016T1,46,50
Ambos sexos,Total Nacional,Menores de 25 años,2015T4,46,24
Ambos sexos,Total Nacional,Menores de 25 años,2015T3,46,58
Ambos sexos,Total Nacional,Menores de 25 años,2015T2,49,22
Ambos sexos,Total Nacional,Menores de 25 años,2015T1,51,36
Ambos sexos,Total Nacional,Menores de 25 años,2014T4,51,80
Ambos sexos,Total Nacional,Menores de 25 años,2014T3,52,39
Ambos sexos,Total Nacional,Menores de 25 años,2014T2,53,12
Ambos sexos,Total Nacional,Menores de 25 años,2014T1,55,49
Ambos sexos,Total Nacional,Menores de 25 años,2013T4,54,89
Ambos sexos,Total Nacional,Menores de 25 años,2013T3,54,14
Ambos sexos,Total Nacional,Menores de 25 años,2013T2,55,98
Ambos sexos,Total Nacional,Menores de 25 años,2013T1,56,92
Ambos sexos,Total Nacional,Menores de 25 años,2012T4,54,83
Ambos sexos,Total Nacional,Menores de 25 años,2012T3,52,1
Ambos sexos,Total Nacional,Menores de 25 años,2012T2,53,4
Ambos sexos,Total Nacional,Menores de 25 años,2012T1,51,67
Ambos sexos,Total Nacional,Menores de 25 años,2011T4,48,14
Ambos sexos,Total Nacional,Menores de 25 años,2011T3,45,58
Ambos sexos,Total Nacional,Menores de 25 años,2011T2,45,87
Ambos sexos,Total Nacional,Menores de 25 años,2011T1,45,30
Ambos sexos,Total Nacional,Menores de 25 años,2010T4,42,73
Ambos sexos,Total Nacional,Menores de 25 años,2010T3,40,56
Ambos sexos,Total Nacional,Menores de 25 años,2010T2,41,97
Ambos sexos,Total Nacional,Menores de 25 años,2010T1,40,73
Ambos sexos,Total Nacional,Menores de 25 años,2009T4,38,81
Ambos sexos,Total Nacional,Menores de 25 años,2009T3,38,57
Ambos sexos,Total Nacional,Menores de 25 años,2009T2,38,6
Ambos sexos,Total Nacional,Menores de 25 años,2009T1,35,54
Ambos sexos,Total Nacional,Menores de 25 años,2008T4,28,97
Ambos sexos,Total Nacional,Menores de 25 años,2008T3,24,18
Ambos sexos,Total Nacional,Menores de 25 años,2008T2,23,62
Ambos sexos,Total Nacional,Menores de 25 años,2008T1,21,8
Ambos sexos,Total Nacional,Menores de 25 años,2007T4,18,66
Ambos sexos,Total Nacional,Menores de 25 años,2007T3,17,87
Ambos sexos,Total Nacional,Menores de 25 años,2007T2,18,12
Ambos sexos,Total Nacional,Menores de 25 años,2007T1,17,72
